City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Mayumba,GA,-3.432,10.6554,74.89,87,95,6.06,overcast clouds
147,Constitucion,CL,-35.3333,-72.4167,50.31,85,99,4.56,light rain
148,Puerto Ayora,EC,-0.7393,-90.3518,69.44,92,45,7.67,scattered clouds
149,Lorengau,PG,-2.0226,147.2712,84.54,72,91,5.7,light rain
150,Hurricane,US,37.1753,-113.2899,66.67,26,0,10.92,clear sky
151,Tasiilaq,GL,65.6145,-37.6368,39.36,56,2,6.17,clear sky
152,Yarmouth,US,41.7057,-70.2286,59.11,83,1,3.44,clear sky
153,Kapaa,US,22.0752,-159.319,82.38,81,40,11.5,light rain
154,Jining,CN,35.405,116.5814,79.97,59,54,13.0,broken clouds
155,Kaitangata,NZ,-46.2817,169.8464,54.93,50,87,14.27,overcast clouds
156,Joao Pinheiro,BR,-17.7425,-46.1725,75.18,46,15,2.1,few clouds
157,Henties Bay,NA,-22.116,14.2845,53.85,88,78,4.59,broken clouds
158,Ekhabi,RU,53.5102,142.9671,59.63,88,100,12.17,light rain
159,Fukue,JP,32.6881,128.8419,80.96,83,75,3.44,light rain
160,Alegrete,BR,-29.7831,-55.7919,60.62,90,53,20.47,broken clouds
161,East London,ZA,-33.0153,27.9116,59.94,94,75,11.5,light rain
162,Yar-Sale,RU,66.8333,70.8333,39.02,80,100,18.19,overcast clouds
163,Dunedin,NZ,-45.8742,170.5036,52.95,56,76,15.21,broken clouds
164,Muros,ES,42.7762,-9.0603,61.84,91,75,8.7,broken clouds
165,Chikhli,IN,20.35,76.25,77.92,79,100,3.4,overcast clouds
166,Dejen,ET,10.1667,38.1333,52.07,82,36,2.48,scattered clouds
167,Cap Malheureux,MU,-19.9842,57.6142,73.89,77,6,7.0,clear sky
168,Saldanha,ZA,-33.0117,17.9442,59.05,79,65,11.23,broken clouds
169,Lazaro Cardenas,MX,17.9583,-102.2,78.19,86,96,2.71,overcast clouds
170,Pevek,RU,69.7008,170.3133,28.53,87,100,15.68,overcast clouds
171,Ahipara,NZ,-35.1667,173.1667,59.31,64,5,12.82,clear sky
172,Monzon,ES,41.9108,0.1941,64.44,63,100,2.35,overcast clouds
173,La Ferte-Bernard,FR,48.1863,0.6536,47.86,88,17,2.42,few clouds
174,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,90,27.63,light snow
175,Iraquara,BR,-12.2486,-41.6194,63.19,75,1,2.55,clear sky
176,Nampula,MZ,-15.1165,39.2666,69.75,88,20,6.91,few clouds
177,Camacha,PT,33.0833,-16.3333,68.76,73,75,16.11,broken clouds
178,Hofn,IS,64.2539,-15.2082,44.96,76,100,7.81,light rain
179,Kiama,AU,-34.6833,150.8667,75.38,68,53,10.0,light rain
180,Panaba,MX,21.2833,-88.2667,75.52,79,74,7.67,broken clouds
181,Vilhena,BR,-12.7406,-60.1458,74.12,63,45,2.17,scattered clouds
182,Norman Wells,CA,65.282,-126.8329,32.04,74,20,4.61,few clouds
183,Hithadhoo,MV,-0.6,73.0833,82.35,68,100,3.29,overcast clouds
184,Mantua,IT,45.1667,10.7833,66.7,83,12,3.0,few clouds
185,Husavik,IS,66.0449,-17.3389,33.71,75,41,15.68,scattered clouds
186,Severo-Kurilsk,RU,50.6789,156.125,49.21,92,90,20.11,overcast clouds
187,High Level,CA,58.5169,-117.136,48.31,66,40,4.61,scattered clouds
188,Santa Maria,BR,-29.6842,-53.8069,61.9,88,0,13.8,clear sky
189,Biltine,TD,14.5333,20.9167,81.16,24,92,7.56,overcast clouds
190,Porto Nacional,BR,-10.7081,-48.4172,82.4,59,28,1.25,scattered clouds
191,Oloron-Sainte-Marie,FR,43.1944,-0.6107,57.13,97,99,0.85,overcast clouds
192,Angoram,PG,-4.0625,144.0661,92.91,51,82,5.35,broken clouds
193,Saint-Philippe,RE,-21.3585,55.7679,71.22,75,40,12.62,scattered clouds
194,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,2.3,thunderstorm
195,Chara,RU,56.9064,118.2631,35.78,45,47,3.62,scattered clouds
196,Varhaug,NO,58.6147,5.6457,52.9,77,83,4.81,broken clouds
197,Lebedyn,UA,50.5852,34.4849,38.66,76,26,5.88,scattered clouds
198,Hay River,CA,60.8156,-115.7999,40.98,93,75,1.14,broken clouds
199,Anchorage,US,61.2181,-149.9003,43.25,61,1,0.0,clear sky
200,Carupano,VE,10.6678,-63.2585,77.5,88,64,5.37,broken clouds
201,Mahon,ES,39.8885,4.2658,70.36,68,0,14.97,clear sky
202,Mirabad,AF,30.4362,61.8383,78.64,22,0,13.78,clear sky
203,Caravelas,BR,-17.7125,-39.2481,73.0,87,0,9.4,clear sky
204,Praia,CV,14.9215,-23.5087,79.34,78,20,11.5,few clouds
205,Kuusamo,FI,65.9667,29.1833,41.04,87,90,6.91,overcast clouds
206,New Norfolk,AU,-42.7826,147.0587,54.9,69,100,1.99,overcast clouds
207,San Andres,CO,12.5847,-81.7006,80.62,89,75,4.61,broken clouds
208,Vao,NC,-22.6667,167.4833,70.09,77,75,20.85,broken clouds
209,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,2.3,broken clouds
210,Sorland,NO,67.667,12.6934,51.6,80,55,13.04,broken clouds
211,Eyl,SO,7.9803,49.8164,81.01,68,11,17.16,few clouds
212,Ivybridge,GB,50.3904,-3.9191,56.91,83,100,17.94,overcast clouds
213,Atar,MR,20.5169,-13.0499,87.55,15,0,8.9,clear sky
214,Khatanga,RU,71.9667,102.5,34.36,67,99,8.79,overcast clouds
215,Skibbereen,IE,51.55,-9.2667,58.8,95,100,25.72,light rain
216,Ust-Maya,RU,60.4167,134.5333,38.25,88,100,11.41,light rain
217,Lopatyn,UA,50.2202,24.8483,44.37,78,6,10.29,clear sky
218,Machilipatnam,IN,16.1667,81.1333,86.2,77,53,2.04,moderate rain
219,Sobolevo,RU,54.4299,31.8996,36.36,90,73,4.16,broken clouds
220,Taoudenni,ML,22.6783,-3.9836,87.96,12,2,9.17,clear sky
221,Misterbianco,IT,37.5341,14.9538,70.61,84,40,6.91,scattered clouds
222,Alofi,NU,-19.0595,-169.9187,75.09,100,77,17.25,light rain
223,Ormara,PK,25.2088,64.6357,90.68,53,38,9.22,scattered clouds
224,Port-De-Bouc,FR,43.4,4.9833,62.62,57,0,26.46,clear sky
225,Santa Luzia,BR,-19.7697,-43.8514,68.9,83,75,0.0,light rain
226,Itupiranga,BR,-5.1347,-49.3267,75.92,79,28,3.02,scattered clouds
227,Torbat-E Jam,IR,35.244,60.6225,68.59,31,0,10.78,clear sky
228,Poddorye,RU,57.4695,31.1156,35.94,93,85,3.67,overcast clouds
229,Port Lincoln,AU,-34.7333,135.8667,59.77,77,94,16.71,overcast clouds
230,South Lake Tahoe,US,38.9332,-119.9844,53.49,42,1,5.75,clear sky
231,San Javier,ES,37.8063,-0.8374,73.24,81,75,1.01,broken clouds
232,Kavieng,PG,-2.5744,150.7967,83.32,77,100,12.53,moderate rain
233,Lagoa,PT,39.05,-27.9833,71.06,86,8,2.08,clear sky
234,Uddevalla,SE,58.3478,11.9424,53.08,97,100,3.0,light rain
235,Sturgeon Falls,CA,46.3646,-79.9326,49.96,75,98,7.58,overcast clouds
236,Batemans Bay,AU,-35.7167,150.1833,70.99,51,94,7.52,light rain
237,Nauta,PE,-4.5061,-73.5757,72.91,96,100,2.19,overcast clouds
238,Dunmore Town,BS,25.5,-76.65,81.7,71,56,12.1,broken clouds
239,Caucaia,BR,-3.7361,-38.6531,80.55,79,75,11.5,broken clouds
240,Makakilo City,US,21.3469,-158.0858,80.92,59,20,9.22,few clouds
241,Bonavista,CA,48.6499,-53.1147,56.12,98,100,10.11,overcast clouds
242,Cidreira,BR,-30.1811,-50.2056,62.82,80,96,14.74,overcast clouds
243,Upernavik,GL,72.7868,-56.1549,28.35,74,36,3.38,scattered clouds
244,Sokoni,TZ,-6.4333,39.55,73.69,84,45,13.73,light rain
245,Georgetown,MY,5.4112,100.3354,87.89,70,20,1.99,few clouds
246,Nome,US,64.5011,-165.4064,39.27,66,75,14.97,broken clouds
247,San Quintin,MX,30.4833,-115.95,66.38,73,7,6.33,clear sky
248,Annau,TM,37.8876,58.516,63.9,45,2,9.22,clear sky
249,Chuy,UY,-33.6971,-53.4616,55.35,82,2,11.41,clear sky
250,Hasaki,JP,35.7333,140.8333,81.0,69,100,14.9,overcast clouds
251,Paamiut,GL,61.994,-49.6678,33.76,54,74,6.67,broken clouds
252,Moree,AU,-29.4667,149.85,73.42,68,90,10.36,light rain
253,Noumea,NC,-22.2763,166.4572,81.0,96,82,18.39,broken clouds
254,Santa Rosa,PH,14.3122,121.1114,87.78,88,42,6.08,light rain
255,Dawlatabad,AF,36.4141,64.9053,69.87,29,0,5.17,clear sky
256,Fort Nelson,CA,58.8053,-122.7002,40.59,93,40,5.75,scattered clouds
257,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.24,90,92,14.58,light rain
258,Kuytun,RU,54.3419,101.5036,40.69,52,7,4.85,clear sky
259,Aklavik,CA,68.2191,-135.0107,31.03,92,50,0.76,scattered clouds
260,Rosario Oeste,BR,-14.8361,-56.4275,81.07,56,19,1.57,few clouds
261,Zhangjiakou,CN,40.81,114.8794,68.14,30,94,6.76,overcast clouds
262,Rawson,AR,-43.3002,-65.1023,62.1,29,99,9.17,overcast clouds
263,Rantepao,ID,-2.9701,119.8978,85.06,51,79,4.83,broken clouds
264,Novobirilyussy,RU,56.9514,90.6661,37.67,90,100,4.07,light rain
265,Koshurnikovo,RU,54.1667,93.3,40.71,54,98,2.91,overcast clouds
266,Hailar,CN,49.2,119.7,44.42,41,22,16.17,few clouds
267,Celestun,MX,20.8667,-90.4,81.5,74,27,14.05,scattered clouds
268,Sechura,PE,-5.5569,-80.8222,64.24,78,97,8.34,overcast clouds
269,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.93,96,100,1.05,overcast clouds
270,San Cristobal,VE,7.7669,-72.225,68.18,97,96,0.45,overcast clouds
271,Xinzhi,CN,36.4989,111.7047,78.19,53,60,7.61,broken clouds
272,Teya,RU,60.3778,92.6267,41.43,57,92,5.99,overcast clouds
273,Tiksi,RU,71.6872,128.8694,34.23,72,100,2.84,overcast clouds
274,Mar Del Plata,AR,-38.0023,-57.5575,56.12,60,0,23.0,clear sky
275,Carahue,CL,-38.7,-73.1667,46.44,96,57,3.11,light rain
276,Samarai,PG,-10.6167,150.6667,80.11,85,53,13.06,moderate rain
277,Halifax,CA,44.6453,-63.5724,57.25,87,100,1.99,overcast clouds
278,Port Hedland,AU,-20.3167,118.5667,84.25,54,35,10.36,scattered clouds
