City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Ardakan,32.31,54.0175,91.78,9,0,8.41,IR,2021-09-29 14:47:38
162,Ostrovnoy,68.0531,39.5131,47.75,83,86,7.92,RU,2021-09-29 14:47:38
163,Geraldton,-28.7667,114.6,57.61,94,3,8.05,AU,2021-09-29 14:47:38
164,East London,-33.0153,27.9116,58.14,94,90,5.75,ZA,2021-09-29 14:47:39
165,Khatanga,71.9667,102.5,29.03,73,79,11.77,RU,2021-09-29 14:47:39
166,Samarai,-10.6167,150.6667,78.42,89,99,13.71,PG,2021-09-29 14:47:39
167,Anloga,5.7947,0.8973,88.02,75,33,13.11,GH,2021-09-29 14:47:39
168,Balkhash,46.844,74.9804,58.03,67,99,11.86,KZ,2021-09-29 14:47:40
169,Gigmoto,13.7796,124.39,81.39,81,77,1.23,PH,2021-09-29 14:47:40
170,Turukhansk,65.8167,87.9833,33.48,82,78,0.58,RU,2021-09-29 14:47:40
171,Tromso,69.6496,18.957,54.25,76,0,11.5,NO,2021-09-29 14:43:54
172,Novonukutskiy,53.7002,102.7117,29.53,87,13,2.66,RU,2021-09-29 14:47:41
173,Comodoro Rivadavia,-45.8667,-67.5,55.26,30,0,16.11,AR,2021-09-29 14:47:41
174,Rebrikha,53.0733,82.3408,44.28,86,100,6.64,RU,2021-09-29 14:47:41
175,Waingapu,-9.6567,120.2641,77.59,79,9,5.03,ID,2021-09-29 14:47:42
176,Sawakin,19.1059,37.3321,87.67,57,19,7.61,SD,2021-09-29 14:47:42
177,Celestun,20.8667,-90.4,82.78,71,10,8.41,MX,2021-09-29 14:47:42
178,Kalmunai,7.4167,81.8167,83.1,74,94,5.37,LK,2021-09-29 14:47:43
179,Atar,20.5169,-13.0499,108.46,6,0,13.65,MR,2021-09-29 14:47:43
180,Lusambo,-4.9667,23.45,86.76,51,88,4.38,CD,2021-09-29 14:47:43
181,North Bend,43.4065,-124.2243,50.86,97,1,10.36,US,2021-09-29 14:47:43
182,Vila Velha,-20.3297,-40.2925,85.95,53,20,13.8,BR,2021-09-29 14:43:38
183,Omsukchan,62.5333,155.8,19.45,75,56,7.34,RU,2021-09-29 14:47:44
184,Tautira,-17.7333,-149.15,73.42,71,34,16.93,PF,2021-09-29 14:47:44
185,Bar Harbor,44.3876,-68.2039,61.65,59,1,8.99,US,2021-09-29 14:47:44
186,Sayyan,15.1718,44.3244,67.73,38,79,6.67,YE,2021-09-29 14:47:45
187,Thompson,55.7435,-97.8558,50.16,71,75,10.36,CA,2021-09-29 14:47:45
188,Ninotsminda,41.2646,43.5916,50.45,89,91,4.9,GE,2021-09-29 14:47:45
189,Upernavik,72.7868,-56.1549,29.46,44,100,0.94,GL,2021-09-29 14:47:46
190,Port Hardy,50.6996,-127.4199,51.98,82,75,21.85,CA,2021-09-29 14:45:24
191,Chisec,15.8167,-90.2833,75.43,66,97,1.61,GT,2021-09-29 14:47:46
192,Yashkul,46.1711,45.3435,54.16,40,17,8.66,RU,2021-09-29 14:47:46
193,Killybegs,54.6333,-8.45,55.11,60,89,13.98,IE,2021-09-29 14:47:47
194,Mao,39.8885,4.2658,75.76,64,20,14.97,ES,2021-09-29 14:47:47
195,Taoudenni,22.6783,-3.9836,105.78,5,0,9.69,ML,2021-09-29 14:47:47
196,Ust-Kuyga,70.0167,135.6,11.75,94,63,3.89,RU,2021-09-29 14:47:48
197,Khasan,42.4308,130.6434,60.55,89,0,5.59,RU,2021-09-29 14:47:48
198,Tuktoyaktuk,69.4541,-133.0374,33.8,100,90,21.85,CA,2021-09-29 14:47:48
199,Igarka,67.4667,86.5833,31.35,81,13,6.71,RU,2021-09-29 14:47:49
200,Camopi,3.1655,-52.3158,93.22,39,14,3.47,GF,2021-09-29 14:47:49
201,Sobolevo,54.4299,31.8996,46.71,67,77,4.18,RU,2021-09-29 14:47:49
202,Marshfield,44.6689,-90.1718,60.39,76,1,4.61,US,2021-09-29 14:47:50
203,Ola,59.5833,151.2833,31.95,60,85,8.05,RU,2021-09-29 14:47:50
204,Mindif,10.3976,14.4363,88.14,55,98,2.15,CM,2021-09-29 14:47:50
205,Chifeng,42.2683,118.9636,52.36,62,4,6.49,CN,2021-09-29 14:47:51
206,Hambantota,6.1241,81.1185,84.54,74,75,8.05,LK,2021-09-29 14:47:51
207,Esperance,-33.8667,121.9,57.04,86,84,15.95,AU,2021-09-29 14:47:51
208,Codrington,-38.2667,141.9667,54.9,88,100,17.98,AU,2021-09-29 14:47:53
209,Sao Filipe,14.8961,-24.4956,79.97,78,30,1.28,CV,2021-09-29 14:47:53
210,Bambous Virieux,-20.3428,57.7575,73.65,73,40,9.22,MU,2021-09-29 14:47:53
211,Seydisehir,37.4193,31.8453,64.17,59,99,6.51,TR,2021-09-29 14:47:54
212,Tungor,53.3808,142.9564,59.23,84,82,14.94,RU,2021-09-29 14:47:55
213,Belyy,55.8402,32.9419,46.42,70,99,2.3,RU,2021-09-29 14:47:55
214,Beloha,-25.1667,45.05,76.57,56,82,10.94,MG,2021-09-29 14:47:55
215,Yulara,-25.2406,130.9889,64.24,27,0,6.91,AU,2021-09-29 14:47:56
216,Iqaluit,63.7506,-68.5145,33.53,86,75,11.01,CA,2021-09-29 14:47:56
217,Houma,29.5958,-90.7195,82.0,87,75,6.91,US,2021-09-29 14:43:59
218,Darab,28.7519,54.5444,86.47,16,2,3.98,IR,2021-09-29 14:47:56
219,Xichang,27.8964,102.2634,63.48,86,32,1.92,CN,2021-09-29 14:47:57
220,Corum,40.5,34.75,57.92,53,100,8.79,TR,2021-09-29 14:47:57
221,Victoria,22.2855,114.1577,87.22,85,3,1.01,HK,2021-09-29 14:44:46
222,Eyl,7.9803,49.8164,81.28,71,46,22.3,SO,2021-09-29 14:47:57
223,Dikson,73.5069,80.5464,34.47,94,100,13.96,RU,2021-09-29 14:47:58
224,Adrar,20.5022,-10.0711,104.79,6,0,12.06,MR,2021-09-29 14:47:58
225,Koslan,63.4564,48.8989,43.25,89,98,4.76,RU,2021-09-29 14:47:59
226,Lagos,6.5833,3.75,86.32,65,78,8.16,NG,2021-09-29 14:47:59
227,Asfi,32.2994,-9.2372,77.34,60,9,28.12,MA,2021-09-29 14:47:59
228,Neuquen,-38.9516,-68.0591,64.29,42,0,2.3,AR,2021-09-29 14:47:26
229,Ixtapa,20.7,-105.2,81.23,84,64,2.86,MX,2021-09-29 14:47:59
230,Ayame,5.6083,-3.1563,82.45,74,89,5.79,CI,2021-09-29 14:48:00
231,Kamenka,51.3223,42.7678,45.12,58,65,6.89,RU,2021-09-29 14:48:00
