City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
225,Santa Luzia,BR,68.9,light rain,-19.7697,-43.8514,Pousada Chao Earth
226,Itupiranga,BR,75.92,scattered clouds,-5.1347,-49.3267,Hotel Panorama
227,Torbat-E Jam,IR,68.59,clear sky,35.244,60.6225,White building
231,San Javier,ES,73.24,broken clouds,37.8063,-0.8374,Hotel Mar Menor
232,Kavieng,PG,83.32,moderate rain,-2.5744,150.7967,Nusa Island Retreat
233,Lagoa,PT,71.06,clear sky,39.05,-27.9833,Casa Das Faias
236,Batemans Bay,AU,70.99,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
237,Nauta,PE,72.91,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
238,Dunmore Town,BS,81.7,broken clouds,25.5,-76.65,Coral Sands Hotel
239,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
240,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
244,Sokoni,TZ,73.69,light rain,-6.4333,39.55,Ujamaa Beach Resort
245,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
247,San Quintin,MX,66.38,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
250,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
252,Moree,AU,73.42,light rain,-29.4667,149.85,Molika Springs Motel
253,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
254,Santa Rosa,PH,87.78,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
255,Dawlatabad,AF,69.87,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
257,Sao Joao Da Barra,BR,71.24,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
260,Rosario Oeste,BR,81.07,few clouds,-14.8361,-56.4275,Alvorada Palace accomodation
261,Zhangjiakou,CN,68.14,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
263,Rantepao,ID,85.06,broken clouds,-2.9701,119.8978,Hotel Luta Resort
267,Celestun,MX,81.5,scattered clouds,20.8667,-90.4,Posada Lilia
269,Sao Felix Do Xingu,BR,69.93,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
270,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
271,Xinzhi,CN,78.19,broken clouds,36.4989,111.7047,Mingyue Hotel
276,Samarai,PG,80.11,moderate rain,-10.6167,150.6667,Nuli Sapi
278,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
279,Ribeira Grande,PT,71.91,clear sky,38.5167,-28.7,Quinta da Meia Eira
280,Sola,VU,83.07,light rain,-13.8833,167.55,Leumerus Bungalows
282,Santa Cruz De Tenerife,ES,73.62,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
285,Tahta,EG,71.92,clear sky,26.7693,31.5021,مصطفي عساف
289,Cayenne,GF,73.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
292,Macomb,US,74.03,overcast clouds,40.4592,-90.6718,Hampton Inn Macomb
293,Ambilobe,MG,74.98,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
297,Tutoia,BR,78.39,clear sky,-2.7619,-42.2744,Pousada Guará's
298,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Cabra,ES,71.4,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
301,Tabou,CI,75.11,light rain,4.423,-7.3528,hotêl doufoulougou
307,Chabahar,IR,88.36,overcast clouds,25.2919,60.643,هتل گدروشیا
308,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
310,Laguna,US,72.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
311,Lae,PG,88.47,light rain,-6.7221,146.9847,Phils Hotel
313,Teguise,ES,68.22,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
315,Harper,LR,76.39,light rain,4.375,-7.7169,Screensaver
316,Baghdad,IQ,69.71,clear sky,33.3406,44.4009,Baghdad Hotel
318,Katsuura,JP,83.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
324,Marsh Harbour,BS,80.22,light rain,26.5412,-77.0636,Abaco Beach Resort
325,Wanning,CN,86.54,broken clouds,18.8003,110.3967,Paradise Hotel
326,Sinnamary,GF,79.75,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
328,Hwange,ZW,72.95,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
329,Jalu,LY,70.38,clear sky,29.0331,21.5482,صاحبة الفخامة
334,Menongue,AO,66.07,broken clouds,-14.6585,17.691,Ritz Lauca
339,Niltepec,MX,76.03,scattered clouds,16.5667,-94.6167,Hotel Palma Real
340,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
341,Curup,ID,78.48,light rain,-3.4667,102.5333,Ayi The Costel
342,Buraydah,SA,72.05,clear sky,26.326,43.975,فندق راحة السلام
344,Boyolangu,ID,81.84,light rain,-8.1181,111.8935,Yos ega cv
348,Aswan,EG,73.18,clear sky,24.0934,32.907,Nuba Nile
349,Hamilton,US,67.87,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
351,Wilmington,US,76.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
357,Pacific Grove,US,65.57,clear sky,36.6177,-121.9166,Lovers Point Inn
362,Abashiri,JP,66.49,light intensity shower rain,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
364,Benguela,AO,69.06,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
365,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
366,Ugoofaaru,MV,82.42,broken clouds,5.6667,73.0,Ungoofaaru Inn
367,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality Esperance
368,Bontang,ID,84.9,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
370,Manicore,BR,74.34,light rain,-5.8092,-61.3003,Hotel Durval
372,Pochutla,MX,75.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
375,Panuco,MX,84.38,light rain,22.05,-98.1667,Hotel Plaza
376,Abu Kamal,SY,74.59,clear sky,34.4506,40.9171,محطة التلفاز
377,Inongo,CD,70.75,overcast clouds,-1.95,18.2667,Hotel Du Lac
378,Brokopondo,SR,77.86,few clouds,4.75,-55.1667,Matu Island
381,Campo Maior,BR,78.13,overcast clouds,-4.8278,-42.1686,Elite Hotel
382,Paranaiba,BR,81.21,clear sky,-19.6772,-51.1908,Villa Rica Park Hotel GMR
384,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
388,Nishihara,JP,87.08,few clouds,26.1842,127.7558,Minshuku Agaihama
389,Teahupoo,PF,75.16,few clouds,-17.8333,-149.2667,Vanira Lodge
392,Wichian Buri,TH,87.73,light rain,15.6578,101.106,Mit Sali Hotel
394,Coahuayana,MX,77.65,light rain,18.7333,-103.6833,El rranchito michuacan de ocampos
398,Kaberamaido,UG,65.86,light rain,1.7389,33.1594,"Little Orchard, Kaberamaido"
399,Bengkulu,ID,81.81,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
402,Cairns,AU,82.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
403,Jambi,ID,87.39,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
408,Vila Franca Do Campo,PT,71.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
410,Jiwani,PK,87.57,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
412,Mehran,IR,78.28,clear sky,33.1222,46.1646,بوتیک زنانه بهار
415,Sacramento,US,74.19,clear sky,38.4666,-121.3177,Woodside Homes
419,Amudalavalasa,IN,84.42,overcast clouds,18.4167,83.9,Srivenkateswara Kalyanamandapam Amadalavalasa
420,Biak,ID,82.42,light rain,-0.9131,122.8766,Penginapan Kim
426,Sao Gabriel Da Cachoeira,BR,71.17,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
428,Savannah Bight,HN,82.99,clear sky,16.45,-85.85,Villa on Dunbar Rock
429,Kalmunai,LK,88.75,broken clouds,7.4167,81.8167,VS Villa
431,Port Moresby,PG,89.02,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
432,Axim,GH,75.13,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
443,Emerald,AU,84.34,scattered clouds,-23.5333,148.1667,The Irish Village
444,Tonantins,BR,72.03,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
445,Santa Cruz,BO,77.99,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
451,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
453,Tual,ID,81.3,broken clouds,-5.6667,132.75,Grand Vilia Hotel
454,Corinto,GR,70.9,scattered clouds,37.9407,22.9573,Ephira Hotel
455,Galveston,US,79.0,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
456,Matara,LK,85.26,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
457,Bambanglipuro,ID,68.61,overcast clouds,-7.95,110.2833,Puri Brata
458,Champerico,GT,80.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
460,Dingle,PH,88.16,light rain,10.9995,122.6711,SEGAYA PROPERTY
464,Jardim,BR,78.01,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
469,Damghan,IR,67.39,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
470,Bocaiuva,BR,76.71,scattered clouds,-17.1078,-43.815,Hotel Maxim's
472,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
473,Parambu,BR,74.48,few clouds,-6.2111,-40.6944,Hotel pousada santo onofre
474,Maceio,BR,76.44,light rain,-9.6658,-35.7353,Poutur Pousada
475,Poum,NC,75.18,few clouds,-20.2333,164.0167,Gîte kajeon
477,Jaisalmer,IN,86.7,clear sky,26.9147,70.9181,Hotel Fifu
478,Cravinhos,BR,75.92,overcast clouds,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
484,Lithakia,GR,70.59,light rain,37.7167,20.8333,Zante Plaza Hotel & Apartments
